Dolzina_m,Leto,Skakalec,Drzava,Lokacija
251.5,2015,Anders Fannemel,Norveska,Vikersundbakken
250,2015,Peter Prevc,Slovenija,Vikersundbakken
246.5,2011,Johan Remen Evensen,Norveska,Vikersundbakken
243,2011,Johan Remen Evensen,Norveska,Vikersundbakken
239,2005,Bjorn Einar Romoren,Norveska,Planica
235.5,2005,Matti Hautamaki,Finska,Planica
234.5,2005,Bjorn Einar Romoren,Norveska,Planica
231,2005,Tommy Ingebrigtsen,Norveska,Planica
231,2003,Matti Hautamaki,Finska,Planica
228.5,2003,Matti Hautamaki,Finska,Planica
227.5,2003,Matti Hautamaki,Finska,Planica
225,2003,Adam Malysz,Poljska,Planica
225,2002,Andreas Goldberger,Avstrija,Planica
224.5,2002,Thomas Horl,Avstrija,Planica
219.5,1999,Tommy Ingebrigtsen,Norveska,Planica
214.4,1999,Martin Schmitt,Nemcija,Planica
212,1997,Lasse Ottesen,Norveska,Planica
210,1997,Espen Bredesen,Norveska,Planica
209,1994,Espen Bredesen,Norveska,Planica
203,1994,Toni Nieminen,Finska,Planica
